First_order_best_category,First_order_best_sub_catgeory,FirstOrderCity,FirstOrderCityTier,First_order_OrderPlatform,First_order_campaign_medium,First_order_campaign_source,First_order_campaign_term,First_order_referrer_type,OrderTiming,DiscountUsageSegment,WeekdayWeekendPreference,repeated_users_segment,total_users_segment
Item Category Unavailable,Item SubCategory Unavailable,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,34,128
Watches,Analog,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,Light Discount User,Weekday Shopper,14,128
Western Wear,Dresses & Jumpsuits,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,39,128
Beauty,Makeup,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekend Shopper,38,128
Na,Na,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Afternoon Shopper,Extreme Discount User,Weekday Shopper,8,128
Na,Na,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Evening Shopper,Extreme Discount User,Weekday Shopper,8,128
Casual Wear,Jeans,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,50,127
Beauty,Makeup,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,70,125
Na,Na,Mumbai,Tier 1,desktop,campaign_medium Unavailable,Referral,campaign_term Unavailable,referral,Afternoon Shopper,Extreme Discount User,Weekday Shopper,18,124
Clothing,Shirts,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,33,123
Na,Na,Mumbai,Tier 1,desktop,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Afternoon Shopper,Extreme Discount User,Weekday Shopper,17,122
Beauty,Flb Elca,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekend Shopper,37,122
Bags & Accessories,Women,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,68,122
Western Wear,Dresses & Jumpsuits,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,31,122
Beauty,Makeup,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,24,122
Beauty,Flb Elca,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,25,122
Na,Na,New Delhi,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Evening Shopper,Extreme Discount User,Weekday Shopper,11,121
Indian Wear,Kurtas,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,43,120
Na,Na,Bengaluru,Tier 1,desktop,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Afternoon Shopper,Extreme Discount User,Weekday Shopper,15,120
Na,Na,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Referral,campaign_term Unavailable,referral,Evening Shopper,Extreme Discount User,Weekday Shopper,22,120
Na,Na,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Evening Shopper,Extreme Discount User,Weekday Shopper,7,120
Beauty,Fragrance,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekday Shopper,55,119
Indian & Fusion Wear,Kurtas Suits Sets,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,29,119
Apparel Women Indian Wear,Indianwear,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,56,115
Indian Wear,Kurtas,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,35,115
Westernwear,Dresses,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,60,115
Na,Na,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Referral,campaign_term Unavailable,referral,Evening Shopper,Extreme Discount User,Weekday Shopper,13,114
Na,Na,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Afternoon Shopper,Extreme Discount User,Weekday Shopper,7,113
Footwear,Sports Shoes & Sneakers,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,28,113
Western Wear,Dresses & Jumpsuits,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,79,113
Watches,Analog,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,20,112
Beauty,Makeup,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekday Shopper,64,112
Apparel Men,Denim,Ssl-Cyberabad Inorbit,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,72,112
Clothing,Shirts,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,28,111
Na,Na,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Referral,campaign_term Unavailable,referral,Afternoon Shopper,Extreme Discount User,Weekday Shopper,11,110
Watches,Analog Watches,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,Light Discount User,Weekday Shopper,6,110
Apparel Men,Denim,Ssl-Alpha Ahmedabad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,76,110
Na,Na,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Referral,campaign_term Unavailable,referral,Afternoon Shopper,Extreme Discount User,Weekday Shopper,21,110
Apparel Women Western Wear,Casual,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekday Shopper,63,109
Watches,Analog Watches,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,4,107
Western Wear,Dresses & Jumpsuits,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,Light Discount User,Weekday Shopper,79,106
Na,Na,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Referral,campaign_term Unavailable,referral,Evening Shopper,Extreme Discount User,Weekday Shopper,8,106
Na,Na,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Referral,campaign_term Unavailable,referral,Afternoon Shopper,Extreme Discount User,Weekday Shopper,16,106
Apparel Men,Casual,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,58,106
Beauty,Fragrance,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekend Shopper,43,105
Beauty,Flb Elca,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,57,104
Western Wear,Dresses & Jumpsuits,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,31,104
Na,Na,Bengaluru,Tier 1,desktop,campaign_medium Unavailable,Referral,campaign_term Unavailable,referral,Afternoon Shopper,Extreme Discount User,Weekday Shopper,13,103
Casual Wear,Jeans,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,19,103
Watches,Analog Watches,New Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,11,103
Beauty,Makeup,Ssl-South City Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,76,102
Clothing,Shirts,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,26,102
Watches,Watches,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekday Shopper,55,101
Casual Wear,Shirts,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,14,101
Westernwear,Dresses,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,14,101
Beauty,Fragrance,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekday Shopper,38,101
Indian & Fusion Wear,Kurtas & Kurtis,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,30,100
Indian Wear,Kurtas,Kolkata,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,39,99
Westernwear,Topwear,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,24,98
Na,Na,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Evening Shopper,Extreme Discount User,Weekday Shopper,7,96
Apparel Women Indian Wear,Indianwear,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,46,96
Indian & Fusion Wear,Kurtas Suits Sets,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,21,96
Indian & Fusion Wear,Kurtas & Kurtis,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,19,95
Apparel Men,Denim,Ssl-Thane,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,51,95
Westernwear,Dresses,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,36,95
Apparel Men,Denim,Ssl-Alpha Ahmedabad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,45,94
Indian Wear,Kurtas,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,67,94
Beauty,Flb Elca,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekend Shopper,22,94
Na,Na,Bengaluru,Tier 1,desktop,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Evening Shopper,Extreme Discount User,Weekday Shopper,16,93
Watches,Analog Watches,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekend Shopper,1,93
Clothing,Shirts,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,28,93
Beauty,Flb Elca,Mac-Dlf Mall Noida,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,20,92
Apparel Men,Denim,Ssl-Malad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,35,91
Item Category Unavailable,Item SubCategory Unavailable,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,Light Discount User,Weekday Shopper,72,91
Beauty,Makeup,Ssl-Bhopal,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,82,90
Apparel Women Western Wear,Casual,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekday Shopper,66,90
Western Wear,Dresses & Jumpsuits,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,37,90
Indian & Fusion Wear,Kurtas & Kurtis,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,25,90
Western Wear,Dresses & Jumpsuits,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekend Shopper,12,90
Clothing,T-Shirts & Polos,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,16,89
Clothing,Shirts,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,20,89
Na,Na,New Delhi,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Afternoon Shopper,Extreme Discount User,Weekday Shopper,4,89
Casual Wear,Shirts,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,28,89
Item Category Unavailable,Item SubCategory Unavailable,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,23,89
Na,Na,Mumbai,Tier 1,desktop,campaign_medium Unavailable,Referral,campaign_term Unavailable,referral,Evening Shopper,Extreme Discount User,Weekday Shopper,13,89
Indian Wear,Indianwear Sets,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,31,89
Indian & Fusion Wear,Kurtas Suits Sets,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,21,88
Westernwear,Jeans & Jeggings,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,53,87
Westernwear,Dresses,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,14,87
Apparel Men,Denim,Ssl-Cyberabad Inorbit,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,42,87
Beauty,Flb Elca,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekday Shopper,53,87
Beauty,Makeup,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekend Shopper,9,87
Apparel Men,Denim,Ssl-Bhopal,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,66,87
Na,Na,Delhi,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Evening Shopper,Extreme Discount User,Weekday Shopper,10,87
Western Wear,Dresses & Jumpsuits,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,17,86
Watches,Watches,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekend Shopper,24,86
Apparel Women Western Wear,Casual,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,53,86
Beauty,Flb Elca,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekend Shopper,0,86
Indianwear,Ethnic Sets,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,26,86
Indian & Fusion Wear,Kurtas Suits Sets,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,20,85
Indian & Fusion Wear,Kurtas & Kurtis,Kolkata,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,27,85
Indian & Fusion Wear,Kurtas Suits Sets,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,52,85
Na,Na,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Afternoon Shopper,Extreme Discount User,Weekday Shopper,8,85
Apparel Men,Casual,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekday Shopper,58,85
Eyewear,Eyewear,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,41,85
Footwear,Sports Shoes,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,11,85
Indian & Fusion Wear,Kurtas & Kurtis,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,25,85
Apparel Men,Sport,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,33,85
Indian Wear,Indianwear Sets,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,25,84
Watches,Analog,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,10,84
